Currency,MAE,RMSE,R2
USD/EUR,0.05816371426264446,0.06773095743730562,-2.3290032025851484
AUD/EUR,0.06704787903467814,0.07471231242284672,-0.779015135673305
GBP/EUR,0.011609237991968795,0.01288305724646245,-0.9887031970037548
CHF/EUR,0.04633221026484171,0.05093344347604792,-42.52492280318663
